	GSM877126	GSM877127	GSM877128	GSM877129	GSM877130	GSM877131	GSM877132	GSM877133	GSM877134	GSM877135	GSM877136	GSM877137	GSM877138	GSM877139	GSM877140	GSM877141	GSM877142	GSM877143	GSM877144	GSM877145	GSM877146	GSM877147	GSM877148	GSM877149	GSM877150	GSM877151	GSM877152	GSM877153	GSM877154	GSM877155	GSM877156	GSM877157	GSM877158	GSM877159	GSM877160	GSM877161	GSM877162	GSM877163	GSM877164	GSM877165	GSM877166	GSM877167	GSM877168	GSM877169	GSM877170	GSM877171	GSM877173	GSM877174	GSM877175	GSM877176	GSM877177	GSM877178	GSM877179	GSM877180	GSM877181	GSM877182	GSM877183	GSM877184	GSM877185	GSM877186	GSM877187	GSM877188
224588_at	12.4691572423281	3.88630839338312	12.4517258944464	3.71128115749103	3.87601460903069	3.94581701360304	10.5079838261626	4.04435597804681	3.08167403782584	4.31967580712858	4.04833228523173	3.62368811374357	3.63284470715277	10.0101793719084	11.6886821899144	12.0570329269208	5.4158213910612	12.5457885633581	3.50853513519251	3.425092830707	12.6932715254824	3.87909535335113	3.35225211128458	7.67857417764934	9.54234722993118	2.92555587245637	3.51582793905256	9.43534120452638	12.3525823722945	12.2726725971103	2.91649593347347	12.3612389513481	12.3123637125523	3.61376124814431	12.5270239363697	2.66403745651423	12.0769589992398	12.3974004994359	11.3618391065285	11.4737346194273	11.9802574202964	3.57304843073981	12.2608499314414	11.8671562135273	11.9355908082181	3.63261658365589	3.46320985720846	12.1686545717133	11.5197280903386	3.92893394425866	12.1379199207886	11.654839498706	4.23620349232559	12.1463359904013	4.0637536816382	13.2591329021392	11.8562435025118	12.383679864689	4.53311160688918	8.00099354195217	3.58670010730758	3.51582793905255
221728_x_at	11.3705913379043	2.862141646497	11.0910608025945	2.62572453301019	2.64591748097021	3.24603134333383	8.98398137819748	3.69919106215069	2.83864909319023	3.69891676868245	3.40607883405279	3.02489451516171	3.48717465328567	8.39449022767237	10.8334164914284	11.0090844658237	3.68678376526335	11.5969746198009	2.81127183267853	3.04185093569449	11.7361242274738	3.33253202731624	2.91904750433525	6.69731195655205	7.81578861934985	3.25710481191301	3.09781435194856	7.61916802119009	11.1461276736016	11.2352859790673	2.54729201672108	11.3648700545272	10.7371943193954	2.96598151887872	11.7557504314666	3.16610330672674	10.67849444891	11.6251629014453	10.1840748844072	9.75106104256189	11.2361718951274	3.15770263720819	11.1466306258078	10.8228392345282	10.914922570851	3.15324658328073	2.62529519824148	11.2177610240011	10.4000330041998	3.28480195106002	10.9279139816692	10.3661432273771	3.53823548001083	11.0757000689377	3.11640154403896	12.2243686477776	10.6804175018776	11.3399577147925	2.72103421853335	6.28724809382821	2.77583744874214	3.29450028622766
227671_at	11.2904110609806	2.87709924837994	11.3639446003617	3.57328407174117	3.16934937516177	3.68905260616503	9.12461894082254	3.46099083170897	2.9714102326222	3.05419397754767	3.96127749974894	3.48373785859851	3.38091875752465	8.75473596981266	10.7160761776061	11.0587413842477	3.63656097211607	11.4180958170026	3.62619838035833	3.5558524314975	11.5470605836363	3.54064268327561	3.49321237238787	6.59152414982262	8.22256844139342	3.09234928337745	3.75156951547606	7.98210716088199	11.0311245439637	11.1541850777092	2.72015741854937	11.4281027678205	11.0408371154665	3.1055147767471	11.5509349442688	3.59986268796304	10.936951042963	11.4245627587222	10.1584997441661	10.2116968436565	11.2121708406912	3.38325664393718	11.2148146695782	10.8766971431316	10.8043523369777	3.31276488759487	3.18810149199842	11.1399121320098	10.2353156071867	3.4533296359647	10.8684269811137	10.3023878458021	3.4444394852878	11.1160874483168	3.36353131131305	12.3532384198506	10.4597043836128	11.1078659205442	3.36561868385174	6.60896608602437	3.34703003789853	3.43308404180085
201909_at	4.26805837677354	12.7591066589142	5.14800534934244	11.7792182793338	11.4587242033364	12.5866905984598	5.02137609563316	12.839554909439	9.26101954290307	13.5082493802994	7.44853139546401	9.66519284556639	9.67214639456057	4.86884952700401	4.8770574094284	4.69623993740732	12.5391670595626	4.34578584241979	12.8881314540608	10.074894272574	5.03706956044863	12.3574008533903	9.79456462177567	8.58433692312015	4.71860444574749	10.5815822188111	10.9145920696661	4.57011437957592	4.41264714066816	4.47464234279377	12.7853374680755	4.66914431079967	4.67892063498673	12.8775463177104	5.01648298342427	13.4081822726395	4.83022546480521	4.3127241605578	5.13076009595246	4.50680136374173	4.74267707863148	12.2509499837164	4.78336119208477	4.89700177242197	4.30581222623488	8.49358045662916	12.3753972733314	4.28571579844574	4.48623151874572	9.60147266824614	4.83667863377369	4.77899587130304	12.2082647715176	4.51669291302702	12.984321145678	5.23142160589038	4.9652896144456	4.53312808161551	12.8421361521885	4.63831297977672	10.8201594767069	11.779723703078
209752_at	9.23030001715332	14.1194224546927	13.1257098626395	14.1242496121969	3.84525668417663	13.2559287888998	3.67330183591347	6.71241450800484	4.63556778705128	8.67510877034766	9.74137744456592	9.04667725773626	8.82237444583764	3.60394682795382	11.0035797542581	7.04450162315314	3.82061749138448	13.0850167639782	5.0890172057969	4.89080885569853	13.0495615852828	3.90234054471015	3.44930318809522	6.74065596646946	10.1885077864728	3.73074172995669	3.85239336545375	3.47118228421893	3.48111963376023	10.2564049010869	12.1391337165589	3.54568832516634	9.26019293603566	13.4465370162843	6.8104011434156	13.4087665920319	3.85636552529201	9.65709106595837	12.4906026788784	8.15067760166358	9.58925381390532	3.61897715926879	7.65942744381203	7.02434839693171	3.54659129593737	5.1661110864407	9.12496076865908	9.06085303416115	3.86821149936003	8.29672197375752	6.34296681292737	8.88584456471936	7.50970497890873	5.14696735395399	4.22913743166796	8.09381701959737	6.91217999928634	9.24712943335775	3.38753755156738	3.41100137964859	5.74918796041188	3.47553408389751
1554436_a_at	13.8033322148271	7.78316827973308	9.6096574869243	13.8758779983055	8.34512024971176	11.35029950357	3.16050502773455	7.44541605394185	4.98676337602086	3.27081625902935	6.79064302512386	7.64607784137244	4.04020039373779	3.54277215365164	3.17641004025763	9.40373059044293	3.28265559622589	3.30196014835811	3.1148772508063	3.65193880398503	3.33901530640631	3.52481482154674	3.74275884108857	3.88787865738228	8.36385164304894	2.9889641837576	3.30093797454292	10.2581691643038	3.13754322786722	7.78023179488938	5.37165469292789	3.54060006545588	9.11703878259198	10.3565186214823	3.60338222962359	3.17721312812137	7.69835415283048	9.16212219854998	13.287969256369	3.60213219141181	4.31103052890617	3.30732398517851	3.19258528169507	7.20474743583188	10.8708233194733	11.7051294457927	8.3226418189302	11.8758409534463	3.38565764519184	4.27655786051071	3.26372025173318	12.3343066223847	11.8976505448915	3.09062158380363	3.98041654067893	3.70905235472398	10.7055773177369	4.67323083475146	3.32598902859232	4.63718121802498	3.60437623613142	4.35026676609312
223447_at	14.0317154582749	9.25976305571905	10.5392558265856	14.086688600283	9.57192708958102	11.712953666951	4.35283476585715	8.42235971892293	6.32936491010176	3.98917245082045	8.15069440636975	9.00060836728694	5.31788586789904	3.77545100530233	3.60489997822774	10.425486189755	3.47118652734905	3.43748642334106	4.40128880483827	4.40305746989123	3.66239466218808	3.80831049416238	4.94947295946049	4.40669670417416	9.09024680648091	3.62411382986473	3.75615589868627	11.0213785265021	3.76991331390275	8.32587241142088	6.40888543608986	4.21272061880327	9.98329448126663	10.5471482260808	4.1172279882815	3.42904292243529	8.51513313058965	10.62175478883	13.4112757345725	3.69993031367318	5.02044060388733	3.621779760114	4.45337132030362	8.05047620622181	11.8883799264104	12.5395701207611	9.57666606160614	12.5328498299653	3.73314327811595	5.74246052210684	3.71358360520185	12.8042927161849	12.8072928408596	3.57976574385219	5.9994037339964	5.89144422725011	11.6202673412138	6.22072993780132	3.98388321983128	5.9069953879709	4.15110597645698	5.91718386108925
230784_at	11.9573072796158	4.64490470514153	4.11237760851916	10.3578983419764	7.31221842332267	4.73048119057052	3.86439454507237	5.15713314446413	10.254963806756	6.01496459131933	10.5237943401586	4.20516066987142	4.00702604252259	4.05674837686094	4.62657880424644	12.3392015111787	6.90740977460321	10.3633129544073	8.01062768774658	4.74990878146884	10.6089205432269	4.41902814220982	11.2959685160026	7.00984670872409	7.95701868751373	4.36009222638704	9.7861875363839	4.28030122934777	10.0224300895363	10.4741791917138	11.7308832676107	12.0555559625789	4.13760342980011	11.8581187255667	3.96587964284451	4.15345374552658	4.26294257643831	7.83779217100447	4.30202619200944	4.19962990417978	12.2188767716372	3.95281718676597	4.74026303350151	11.848251712986	10.7419402522263	11.4001013740767	3.56409173214738	11.2755064380447	12.8402094184187	4.36313655604445	10.6997787796566	12.1463837146864	11.3211199650342	3.92036081969144	5.06027785304134	11.3478404667151	11.8064849130371	9.41061476892167	10.6490284813019	11.7385040079056	3.37009623436967	3.88188214940276
214218_s_at	10.196961181404	2.56988334871486	9.945725280392	3.13174747392345	3.0328066052367	2.9937631481015	7.77575467962858	3.09311147715623	2.86331443419697	3.13538078831945	3.35467418903108	3.21761949133685	2.90611483512509	7.14867347702455	9.82680650357343	9.9351758425874	3.11251343246686	10.3188059996036	2.81722537591967	3.22239177278454	10.2790183163816	3.23561781805207	2.83787121362391	5.07294299176604	6.59260757331606	2.91116023671846	3.39028744662908	6.26571332945696	9.89313293159629	9.83193046225786	2.98963945459677	10.247077044303	9.40249288819783	3.14344714372909	10.5472597184994	3.10718766062811	9.75079388132222	10.216171048561	9.20898920010946	8.38461245262899	9.94765130854312	3.15900511106841	9.46268840501719	9.7680474255217	9.8860358136313	3.04055107493903	3.05683671787762	10.0253602019863	9.14209471103628	3.27164810621449	9.53902478993795	9.30313893007806	3.0842410781538	9.56634445095133	3.23759966740748	11.1069315179091	9.54257986915472	9.86631483862075	2.35239186741393	4.93287122166682	3.25119721250231	2.8600381560764
207214_at	14.3160356384189	7.87895847617853	5.0033726013807	13.7785684655501	10.2315057892763	12.946568530856	4.97680604800016	9.72089969789331	7.16596195616855	5.07256705113237	10.0739050317068	10.8263039749562	7.15324446082498	9.08345293050233	5.38892524019733	10.9563959370046	4.64118179120514	5.22303971291706	4.7996460330584	6.7449503988594	5.19710387119565	5.07085109688777	6.73956997553882	9.38449734101593	10.0979414597717	4.46161392529106	4.00268827618235	5.24002894276933	4.44546129477386	7.55038806648395	4.33160002417148	4.15907061820109	11.9829994809375	4.1776984408306	5.43691063299513	5.65022322508086	7.03551884986658	11.0604250150366	14.2934921386165	4.72226317496522	10.2779267566054	6.4739295475938	4.83552660034398	10.6506637973484	10.4111947507414	13.2612000612553	11.9976557163015	13.2906173807124	5.21155722202824	6.04211997565257	5.32358657975695	13.6281009270997	14.1049038643051	4.77703621309766	4.43921305234938	5.0677408907531	10.4841450817168	5.79668105107545	5.08160827690182	5.17852273198106	5.15371501804468	9.14854967692031
